NPhone_Decay	WtoW_Weight	Participant_Index	Noise_LOC	Reaction_Time	Accuracy
0.15	-0.001	6	0.14	47.7	0.04716981132075472
0.15	-0.001	6	0.15	46.5	0.03773584905660377
0.15	-0.001	7	0	37.11904761904762	0.9905660377358491
0.15	-0.001	7	0.01	37.92822966507177	0.9858490566037735
0.15	-0.001	7	0.02	39.869565217391305	0.9764150943396226
0.15	-0.001	7	0.03	43.78421052631579	0.8962264150943396
0.15	-0.001	7	0.04	47.24	0.8254716981132075
0.15	-0.001	7	0.05	50.711409395973156	0.7028301886792453
0.15	-0.001	7	0.06	53.289256198347104	0.5707547169811321
0.15	-0.001	7	0.07	57.744680851063826	0.44339622641509435
0.15	-0.001	7	0.08	59.815384615384616	0.30660377358490565
0.15	-0.001	7	0.09	61.476190476190474	0.19811320754716982
0.15	-0.001	7	0.1	50.76	0.1179245283018868
0.15	-0.001	7	0.11	52.35294117647059	0.08018867924528301
0.15	-0.001	7	0.12	55.15384615384615	0.06132075471698113
0.15	-0.001	7	0.13	55.666666666666664	0.05660377358490566
0.15	-0.001	7	0.14	53.111111111111114	0.04245283018867924
0.15	-0.001	7	0.15	55.0	0.03773584905660377
0.15	-0.001	8	0	37.11904761904762	0.9905660377358491
0.15	-0.001	8	0.01	38.004784688995215	0.9858490566037735
0.15	-0.001	8	0.02	40.067961165048544	0.9716981132075472
0.15	-0.001	8	0.03	42.921052631578945	0.8962264150943396
0.15	-0.001	8	0.04	47.65895953757225	0.8160377358490566
0.15	-0.001	8	0.05	51.125	0.7169811320754716
0.15	-0.001	8	0.06	54.04761904761905	0.5943396226415094
0.15	-0.001	8	0.07	58.708333333333336	0.4528301886792453
0.15	-0.001	8	0.08	57.983050847457626	0.2783018867924528
0.15	-0.001	8	0.09	58.15	0.18867924528301888
0.15	-0.001	8	0.1	56.12	0.1179245283018868
0.15	-0.001	8	0.11	51.06666666666667	0.07075471698113207
0.15	-0.001	8	0.12	43.333333333333336	0.05660377358490566
0.15	-0.001	8	0.13	51.166666666666664	0.05660377358490566
0.15	-0.001	8	0.14	48.7	0.04716981132075472
0.15	-0.001	8	0.15	49.75	0.03773584905660377
0.15	-0.001	9	0	37.11904761904762	0.9905660377358491
0.15	-0.001	9	0.01	37.75598086124402	0.9858490566037735
0.15	-0.001	9	0.02	40.54854368932039	0.9716981132075472
0.15	-0.001	9	0.03	42.83510638297872	0.8867924528301887
0.15	-0.001	9	0.04	46.75581395348837	0.8113207547169812
0.15	-0.001	9	0.05	50.82993197278912	0.6933962264150944
0.15	-0.001	9	0.06	53.983870967741936	0.5849056603773585
0.15	-0.001	9	0.07	57.97938144329897	0.45754716981132076
0.15	-0.001	9	0.08	56.693548387096776	0.29245283018867924
0.15	-0.001	9	0.09	56.666666666666664	0.16981132075471697
0.15	-0.001	9	0.1	58.5	0.11320754716981132
0.15	-0.001	9	0.11	51.888888888888886	0.08490566037735849
0.15	-0.001	9	0.12	53.416666666666664	0.05660377358490566
0.15	-0.001	9	0.13	46.7	0.04716981132075472
0.15	-0.001	9	0.14	46.63636363636363	0.05188679245283019
0.15	-0.001	9	0.15	43.125	0.03773584905660377
0.15	-0.001	10	0	37.11904761904762	0.9905660377358491
0.15	-0.001	10	0.01	37.94736842105263	0.9858490566037735
0.15	-0.001	10	0.02	40.24757281553398	0.9716981132075472
0.15	-0.001	10	0.03	43.01058201058201	0.8915094339622641
0.15	-0.001	10	0.04	47.04545454545455	0.8301886792452831
0.15	-0.001	10	0.05	51.1578947368421	0.7169811320754716
0.15	-0.001	10	0.06	53.81967213114754	0.5754716981132075
0.15	-0.001	10	0.07	57.319148936170215	0.44339622641509435
0.15	-0.001	10	0.08	55.69491525423729	0.2783018867924528
0.15	-0.001	10	0.09	58.57142857142857	0.1650943396226415
0.15	-0.001	10	0.1	52.875	0.11320754716981132
0.15	-0.001	10	0.11	53.88235294117647	0.08018867924528301
0.15	-0.001	10	0.12	54.07692307692308	0.06132075471698113
0.15	-0.001	10	0.13	51.81818181818182	0.05188679245283019
0.15	-0.001	10	0.14	47.4	0.04716981132075472
0.15	-0.001	10	0.15	49.55555555555556	0.04245283018867924
0.15	-0.001	11	0	37.11904761904762	0.9905660377358491
0.15	-0.001	11	0.01	37.92822966507177	0.9858490566037735
0.15	-0.001	11	0.02	40.34299516908212	0.9764150943396226
