Feedback_Excitation	Feedback_Inhibition	Cycle	/p/|pl^g	/b/|pl^g	/p/|bl^S	/b/|bl^S	/p/|#l^g	/b/|#l^g	/p/|#l^S	/b/|#l^S
0.0	-0.13	15	0.48239765	0.0	0.0	0.4822942	0.22463165	0.2192989	0.22463165	0.2192989
0.0	-0.13	16	0.48589477	0.0	0.0	0.48561275	0.19850421	0.19293474	0.19850421	0.19293474
0.0	-0.13	17	0.48868373	0.0	0.0	0.48813623	0.17518085	0.16948882	0.17518085	0.16948882
0.0	-0.13	18	0.49091092	0.0	0.0	0.4900328	0.15441805	0.14869857	0.15441805	0.14869857
0.0	-0.13	19	0.49269444	0.0	0.0	0.4914453	0.13597515	0.13030371	0.13597515	0.13030371
0.0	-0.13	20	0.49412307	0.0	0.0	0.4924854	0.11962657	0.114063226	0.11962657	0.114063226
0.0	-0.13	21	0.49526772	0.0	0.0	0.49323922	0.10516138	0.099753276	0.10516138	0.099753276
0.0	-0.13	22	0.496185	0.0	0.0	0.49377763	0.09238411	0.08716671	0.09238411	0.08716671
0.0	-0.13	23	0.49692038	0.0	0.0	0.49415627	0.081020296	0.07601727	0.081020296	0.07601727
0.0	-0.13	24	0.49748528	0.0	0.0	0.49434254	0.07089741	0.06613084	0.07089741	0.06613084
0.0	-0.13	25	0.4978413	0.0	0.0	0.4943179	0.06190154	0.057389077	0.06190154	0.057389077
0.0	-0.13	26	0.49800816	0.0	0.0	0.49412757	0.05393863	0.049692895	0.05393863	0.049692895
0.0	-0.13	27	0.498028	0.0	0.0	0.49382102	0.046946958	0.042979743	0.046946958	0.042979743
0.0	-0.13	28	0.49794698	0.0	0.0	0.49345782	0.04082788	0.037149094	0.04082788	0.037149094
